Wall time,Step,Value
1586949111.9957688,9,785.0410766601562
1586949462.153172,19,-11457.1064453125
1586949881.368151,29,794.5819091796875
1586950344.2120101,39,794.5634765625
1586950806.7621143,49,1418.8460693359375
1586951276.2084587,59,1304.62158203125
1586951691.837236,69,1614.2149658203125
1586952043.1960063,79,1612.7889404296875
1586952395.2529345,89,1604.7674560546875
1586952738.1747394,99,-4315.64306640625
1586953113.1501482,109,1725.7852783203125
1586953553.80718,119,1717.064697265625
1586953817.506423,129,1791.7952880859375
1586954084.4666944,139,1856.3836669921875
1586954362.1868136,149,1756.4249267578125
1586954621.5312927,159,1802.0340576171875
1586954908.4358795,169,1827.8258056640625
1586955284.2237303,179,1827.7545166015625
1586955638.397059,189,1836.14111328125
1586956091.9263353,199,1899.5242919921875
1586956514.4475627,209,1805.493408203125
1586956976.0056648,219,1807.3297119140625
1586957361.0197518,229,1860.529296875
1586957792.0894313,239,1959.6171875
1586958306.4355981,249,1938.815673828125
1586958566.3427105,259,1905.822021484375
1586958931.9310107,269,1807.30322265625
1586959353.027243,279,1919.0216064453125
1586959742.5398283,289,1943.7969970703125
1586960127.2050686,299,1992.6767578125
